Edad,Género,Nivel de ingresos mensuales,Frecuencia de consumo de café,Tipo de café preferido,Factor importante al elegir café,Calificación de calidad del café de Colombia,Característica asociada con el café de Colombia,Disposición a pagar más por café de Colombia,Rango de precios dispuesto a pagar,Continuar comprando si el precio aumenta 10%,Probabilidad de cambiar de marca si encuentra una opción más barata,Recuerdo de Marketing,Influencia del Marketing,Canales de Marketing,Percepción de la Calidad del Marketing,Recompra de Calidad,Factores de Calidad,Variación de Calidad,Precio de la Primera Compra,Precio de Recompra,Disposición a Pagar Más en la Recompra,Recomendación Social,Importancia Social,Discusiones Sociales,Influencia Social en la Compra
18-24 años,Masculino,Menos de $1000000 COP,Diariamente,Espresso,Aroma,4,Alta calidad,No,$10000 - $14000 COP,No,Probable,Sí,Muy influenciado,Redes sociales,No,Mejor,Consistencia,Sí,$20000 - $24000 COP,$25000 COP o más,No,Sí,Muy importante,No,No
65 años o más,Masculino,$5000000 COP o más,Nunca,Café filtrado,Marca,5,Buena relación calidad-precio,Sí,Menos de $10000 COP,Sí,Muy improbable,No,Muy influenciado,Redes sociales,Sí,Igual,Sabor,No,$10000 - $14000 COP,$10000 - $14000 COP,Sí,No,Muy importante,No,Sí
65 años o más,Masculino,$5000000 COP o más,Varias veces al mes,Café descafeinado,Método de preparación,4,Aroma fuerte,Sí,$10000 - $14000 COP,Sí,Muy improbable,No,Extremadamente influenciado,Redes sociales,Sí,Igual,Consistencia,Sí,$20000 - $24000 COP,$10000 - $14000 COP,No,Sí,Extremadamente importante,No,No
65 años o más,Masculino,$5000000 COP o más,Nunca,Café instantáneo,Precio,1,Buena relación calidad-precio,Sí,$10000 - $14000 COP,Sí,Muy improbable,Sí,Poco influenciado,Prensa escrita,No,Mucho mejor,Consistencia,Sí,$20000 - $24000 COP,$20000 - $24000 COP,No,Sí,Moderadamente importante,Sí,Sí
35-44 años,Femenino,$5000000 COP o más,Varias veces al mes,Café filtrado,Sabor,1,Sabor suave,Sí,Menos de $10000 COP,Sí,Muy improbable,Sí,Muy influenciado,Prensa escrita,Sí,Peor,Sabor,Sí,Menos de $10000 COP,Menos de $10000 COP,Sí,No,Moderadamente importante,No,Sí
65 años o más,Femenino,$5000000 COP o más,Nunca,Café descafeinado,Tipo de grano,2,Aroma fuerte,Sí,$15000 - $20000 COP,Sí,Muy improbable,Sí,Extremadamente influenciado,Prensa escrita,Sí,Mucho mejor,Sabor,No,$20000 - $24000 COP,$20000 - $24000 COP,Sí,No,Muy importante,Sí,Sí
25-34 años,Femenino,$1000000 - $2000000 COP,Varias veces a la semana,Café descafeinado,Aroma,3,Buena relación calidad-precio,No,$25000 COP o más,Depende del aumento,Ni probable ni improbable,No,Nada influenciado,"Internet (banners, sitios web)",Sí,Mucho mejor,Consistencia,No,$25000 COP o más,Menos de $10000 COP,Sí,Sí,Muy importante,Sí,No
18-24 años,Femenino,$1000000 - $2000000 COP,Varias veces a la semana,Café descafeinado,Marca,3,Alta calidad,No,$10000 - $14000 COP,No,Muy improbable,Sí,Nada influenciado,Redes sociales,No,Igual,Precio,Sí,$10000 - $14000 COP,$15000 - $20000 COP,Sí,Sí,Nada importante,Sí,Sí
45-54 años,Masculino,$5000000 COP o más,Nunca,Café instantáneo,Origen (región),3,Sabor suave,Sí,Menos de $10000 COP,Sí,Muy improbable,Sí,Extremadamente influenciado,TV,Sí,Peor,Marca,No,$15000 - $20000 COP,Menos de $10000 COP,No,No,Extremadamente importante,No,Sí
35-44 años,Femenino,$1000000 - $2000000 COP,Una vez a la semana,Café filtrado,Método de preparación,3,Alta calidad,No,$10000 - $14000 COP,No,Ni probable ni improbable,No,Nada influenciado,Redes sociales,No,Peor,Precio,No,$20000 - $24000 COP,$15000 - $20000 COP,Sí,Sí,Poco importante,No,No
