Model,Ratings_Reviews,ROM,Display,Camera,Processor
"APPLE iPhone 14 (Blue, 128 GB)","4.62,46,408 Ratings & 9,466 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 (Midnight, 128 GB)","4.62,46,408 Ratings & 9,466 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 (Starlight, 128 GB)","4.62,46,408 Ratings & 9,466 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 (Purple, 128 GB)","4.62,46,408 Ratings & 9,466 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 12 (Blue, 64 GB)","4.62,05,338 Ratings & 13,637 Reviews",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 14 Plus (Midnight, 128 GB)","4.654,589 Ratings & 3,186 Reviews",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 12 (Blue, 128 GB)","4.62,05,338 Ratings & 13,637 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 14 (Blue, 256 GB)","4.62,46,408 Ratings & 9,466 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 (Black, 128 GB)","4.61,879 Ratings & 164 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 Plus (Purple, 128 GB)","4.654,589 Ratings & 3,186 Reviews",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","4.654,589 Ratings & 3,186 Reviews",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 (Midnight, 256 GB)","4.62,46,408 Ratings & 9,466 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 (Starlight, 256 GB)","4.62,46,408 Ratings & 9,466 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 Plus (Blue, 128 GB)","4.654,589 Ratings & 3,186 Reviews",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 (Blue, 128 GB)","4.61,879 Ratings & 164 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 12 (Black, 64 GB)","4.62,05,338 Ratings & 13,637 Reviews",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 14 (Purple, 256 GB)","4.62,46,408 Ratings & 9,466 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 12 (White, 64 GB)","4.62,05,338 Ratings & 13,637 Reviews",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 15 (Green, 128 GB)","4.61,879 Ratings & 164 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 12 (Green, 64 GB)","4.62,05,338 Ratings & 13,637 Reviews",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 12 (Black, 128 GB)","4.62,05,338 Ratings & 13,637 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 15 Pro Max (Natural Titanium, 256 GB)",4.7237 Ratings & 21 Reviews,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 15 (Blue, 256 GB)","4.61,879 Ratings & 164 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Plus (Blue, 128 GB)",4.7875 Ratings & 104 Reviews,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 12 (White, 128 GB)","4.62,05,338 Ratings & 13,637 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 15 (Black, 256 GB)","4.61,879 Ratings & 164 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Pro (Blue Titanium, 128 GB)",4.7354 Ratings & 32 Reviews,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Plus (Pink, 128 GB)",4.7875 Ratings & 104 Reviews,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Pro (White Titanium, 128 GB)",4.7354 Ratings & 32 Reviews,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 13 (Blue, 128 GB)","4.72,74,517 Ratings & 13,375 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro (Black Titanium, 256 GB)",4.7354 Ratings & 32 Reviews,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 13 (Midnight, 128 GB)","4.72,74,517 Ratings & 13,375 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Plus (Black, 128 GB)",4.7875 Ratings & 104 Reviews,128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Plus (Blue, 256 GB)",4.7875 Ratings & 104 Reviews,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 13 (Pink, 128 GB)","4.72,74,517 Ratings & 13,375 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 15 Pro (White Titanium, 256 GB)",4.7354 Ratings & 32 Reviews,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Pro (Natural Titanium, 128 GB)",4.7354 Ratings & 32 Reviews,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 15 (Pink, 256 GB)","4.61,879 Ratings & 164 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Plus (Black, 256 GB)",4.7875 Ratings & 104 Reviews,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 11 (White, 64 GB)","4.62,04,056 Ratings & 11,501 Reviews",64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 12 (Red, 128 GB)","4.62,05,338 Ratings & 13,637 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"APPLE iPhone 15 Pro Max (Blue Titanium, 256 GB)",4.7237 Ratings & 21 Reviews,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Pro (Blue Titanium, 512 GB)",4.7354 Ratings & 32 Reviews,512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 15 (Yellow, 128 GB)","4.61,879 Ratings & 164 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Pro Max (White Titanium, 256 GB)",4.7237 Ratings & 21 Reviews,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Pro Max (Natural Titanium, 512 GB)",4.7237 Ratings & 21 Reviews,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP + 12MP | 12MP Front Camera,"A17 Pro Chip, 6 Core Processor Processor"
"APPLE iPhone 15 Plus (Pink, 256 GB)",4.7875 Ratings & 104 Reviews,256 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 15 (Green, 256 GB)","4.61,879 Ratings & 164 Reviews",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
"APPLE iPhone 14 (Starlight, 512 GB)","4.62,46,408 Ratings & 9,466 Reviews",512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
